;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
19727;KPRDCSA02;9001026683;d81f8b160f159057e2684b46bc845ba166d989105d5f7b41be455d7e5e6f6197;curette double Hemingway L:185mm;GR14308;NA;muller;;False
19728;KPRDCSA02;9001030794;c93f918b5f47f39a579ec58b732a0e5ff4716af825e3286b8065e3e9f4ed9d7d;élévateur Winter L:160mm;GR14898;NA;muller;NA;False
19730;KPRDCSA02;9001030796;eb62bc2a0e4d3532108ba2c47896e9a8fb777ce8c11d63e63a9b17729b592ce9;davier L:170mm (ArtNr: 95);GR14900;;stoma;NA;False
19731;KPRDCSA02;9001030797;a1424fa48f55a6f50b6bf69aa450befb6d541ef9e31ebca5ba32343098ce7dd8;davier L:160mm (artNr: 722-22);GR14901;;unknown;NA;False
19740;KPRDCSA02;9001032818;20d7faefdd0494c9a527372fc8079179b51976f7dcd1e913a2017c1eb1289804;joint orange capuchon D:10mm;GR15305;;unknown;GR15305;False
19747;KPRDCSA02;9001030533;7137e0803bb03a366ed258cb65313f1c857fad5961c7c5b9d8e825edb2817b7b;ciseau à décortiquer L:200mm l:8mm;GR14707;;inox-lc france;NA;False
19757;KPRDCSA02;9001030527;bb0fa396d9329a76dbc228feb50f2fd82d4fa613cfcd2220555ac4a1b5083efc;gouge de Siagnara L:300mm l:20mm;GR14703;;unknown;NA;False
19758;KPRDCSA02;9001030530;b9a5ce011a8b85513f8866cb50a2890874ce78dfb0be56590915be0a1c6404b4;gouge de Siagnara L:300mm l:8mm;GR14705;;unknown;NA;False
19759;KPRDCSA02;9001030531;1e2e4ff04245339636742ed28a3389689393fc4dac2cb4dbb6dab675d3539980;gouge de Siagnara L:300mm l:7mm;GR14706;;unknown;NA;False
19763;KPRDCSA02;9001027415;75fed65d4dfd0a8157dc013c16a2842dc8c62835d0ce18335f3d1740f27b9f49;rouleau fil cerclage D:0,8mm;GR14666;;unknown;;False
19782;KPRDCSA02;9001027416;d987114b546ab1e66de9bbece6c5e7bf17f06e68e748eb5278ff6d811e84bab8;rouleau fil cerclage D:1,0mm;GR14667;;unknown;;False
19783;KPRDCSA02;9001027413;7e27fb049eed908e8827a1c1e4f6ce5c8c68ee132328a2caf347a49abd74826e;rouleau fil cerclage D:1,25mm;GR14668;;unknown;;False
19784;KPRDCSA02;9001027414;952e0547a80eb76b909eccf851ec81bad87c31e117d1a8f2403dec15e62f63ef;rouleau fil cerclage D:1,50mm;GR14669;;unknown;;False
19798;KPRDCSA02;9001030150;9559537615f8461f9a4d2a20accc364fff38a526f02001ec2a5265b4461d570e;pièce à visser pour hystérographe D:17mm;GR14602;;unknown;NA;False
19799;KPRDCSA02;9001030151;bb906ef335feee54c5a75673abf79401c130dba6f9a66a2748ca5ece7d894563;hystéromètre gradué L:270mm;GR14603;;unknown;NA;False
19805;KPRDCSA02;9001029191;e156d6961e44b561f6c718e29c566f16ffa0b73127241095dfedbd280644275c;dissecteur Shaughnessy coudé 90° L:200mm;GR14098;NA;inox france;NA;False
19806;KPRDCSA02;9001030269;4958baab73e2ff9a61727e14b7d62a7d6cb56d6c4410278e3b579f57855d3f69;pointe carrée Merle d'Aubigné L:170mm (ArtNr: 3);GR14615;NA;muller;NA;False
19815;KPRDCSA02;9001027630;b4b085ab19a0f4eb792fbdd8d337537f9633b14ed001c58e1d992a256ca42403;clamp Gouilloud L:230mm;GR14503;NA;inox france;;False
19822;KPRDCSA02;9001013291;4f6dc64caa4c7b4caf0298d1f467725ba41421e9094327c26ab6d5c222b5e446;ciseaux Dubost courbes L:230mm lames plates;GR10720;;unknown;;False
19823;KPRDCSA02;9001029546;a30881f6e30277f2e8c3b171e0298e7b19b3821ee5fab782fd555e028b5dc0dc;dissecteur double courbure L:260mm;GR14279;NA;muller;NA;False
19828;KPRDCSA02;9001029829;7244158d324de68cda7a28fb231eb54aa5f3df2487ccaeb5e0f440d0ba7c01ce;dilatateur de Garett 2,0mm;GR14435;NA;muller;NA;False
19836;KPRDCSA02;9001028994;a3c4a1b655989336ab554618d0e7e4b0326932210db2c5c79dc7a1e14fc36d96;sonde aiguillée L:140mm;GR14027;;unknown;NA;False
19852;KPRDCSA02;9001029551;86f383f809b4ea58340f95960e4d3c55a8ad5d30d084581c15f3356348e62743;clamp mini droit L:15mm;GR14282;;unknown;NA;False
19853;KPRDCSA02;9001029552;c2b4c41b13e3bf7e8109bdebe70a4ee326269d0d9a212eb7b539baf8838e6536;dilatateur de Garett 3,0mm;GR14283;NA;muller;NA;False
19864;KPRDCSA02;9001029706;a7ea7c7b965498fbc9082a8c78026e9c51fbf5c1d6acedc1c17df332257e6663;pince dissection droite L:170mm 2*1 griffes;GR14359;;simal;NA;False
19872;KPRDCSA02;9001029673;2cac6fb66b374416f368e4c511fe220e4ee3cae72a742a6ac82afb3054d1dba8;broche L:200mm D:1,6mm;GR14346;;unknown;NA;False
19875;KPRDCSA02;9001029553;861dc7ecfac9148b08510c0b2d88af892e4ad973abd1fee680fef7acee26fda8;dilatateur de Garett 4,0mm;GR14284;NA;muller;NA;False
19876;KPRDCSA02;9001029554;d66a64f5a4ba76538d753867190c6f2aafa294d9329c99f54be7d135b2af776c;dilatateur de Garett 5,0mm;GR14285;NA;muller;NA;False
19897;KPRDCSA02;9001029550;c756e178b1f14c3168c6cd946bd33ec08e934ff673a88d06faf2952ef5d74d86;clamp mini courbe L:15mm;GR14281;;unknown;NA;False
19902;KPRDCSA02;9001029428;c20e482584a57dbad882976005015cb002352cfa1fccaedd98a80dc6929b702d;porte aiguille Derf L:120mm;GR14228;;unknown;NA;False
19908;KPRDCSA02;9001029058;14d9368b5b27a84c4d28321b19186c6173e350ef0ae0270e9e4e47958cdd06b9;écarteur Cauchoix L:240mm;GR14054;;inox-lc france;NA;False
19914;KPRDCSA02;9001026662;9610f060a8a85acf214368e311069dafb89aac3094382f4b5f2418f5edc9b6f0;crochet angle droit MDS L:410mm;GR14013;;unknown;;False
19927;KPRDCSA02;9001029224;6e10dc1670911a88be113f695e3bf2b5760efb4069117a3c9e8cc018b2491bd0;branche écarteur Desmanet L:180mm;GR14107;NA;muller;NA;False
